name,color,limitedScore,cmc,rarity,manaCost,typeLine,oracleText,archetype,isSignpost,isBomb,isRemoval
Dawn-Blessed Pennant,,,1.0,uncommon,{1},Artifact,"As this artifact enters, choose Elemental, Elf, Faerie, Giant, Goblin, Kithkin, Merfolk, or Treefolk.
Whenever a permanent you control of the chosen type enters, you gain 1 life.
{2}, {T}, Sacrifice this artifact: Return target card of the chosen type from your graveyard to your hand.",,false,false,false
Firdoch Core,,,3.0,common,{3},Kindred Artifact — Shapeshifter,"Changeling (This card is every creature type.)
{T}: Add one mana of any color.
{4}: This artifact becomes a 4/4 artifact creature until end of turn.",,false,false,false
Foraging Wickermaw,,,2.0,common,{2},Artifact Creature — Scarecrow,"When this creature enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
{1}: Add one mana of any color. This creature becomes that color until end of turn. Activate only once each turn.",,false,false,false
Gathering Stone,,,4.0,uncommon,{4},Artifact,"As this artifact enters, choose a creature type.
Spells you cast of the chosen type cost {1} less to cast.
When this artifact enters and at the beginning of your upkeep, look at the top card of your library. If it's a card of the chosen type, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it into your graveyard.",,false,false,false
Mirrormind Crown,,,4.0,rare,{4},Artifact — Equipment,"As long as this Equipment is attached to a creature, the first time you would create one or more tokens each turn, you may instead create that many tokens that are copies of equipped creature.
Equip {2}",,false,false,false
Puca's Eye,,,2.0,uncommon,{2},Artifact,"When this artifact enters, draw a card, then choose a color. This artifact becomes the chosen color.
{3}, {T}: Draw a card. Activate only if there are five colors among permanents you control.",,false,false,false
Springleaf Drum,,,1.0,uncommon,{1},Artifact,"{T}, Tap an untapped creature you control: Add one mana of any color.",,false,false,false
Stalactite Dagger,,,2.0,common,{2},Artifact — Equipment,"When this Equipment enters, create a 1/1 colorless Shapeshifter creature token with changeling. (It's every creature type.)
Equipped creature gets +1/+1 and is all creature types.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,false,false,false
Blood Crypt,BR,,0.0,rare,,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,false,false,false
Eclipsed Realms,,,0.0,uncommon,,Land,"As this land enters, choose Elemental, Elf, Faerie, Giant, Goblin, Kithkin, Merfolk, or Treefolk.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a spell of the chosen type or activate an ability of a source of the chosen type.",,false,false,false
Evolving Wilds,,,0.0,common,,Land,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",,false,false,false
Hallowed Fountain,UW,,0.0,rare,,Land — Plains Island,"({T}: Add {W} or {U}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,false,false,false
Overgrown Tomb,BG,,0.0,rare,,Land — Swamp Forest,"({T}: Add {B} or {G}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,false,false,false
Steam Vents,RU,,0.0,rare,,Land — Island Mountain,"({T}: Add {U} or {R}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,false,false,false
Temple Garden,GW,,0.0,rare,,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,false,false,false
Plains,W,,0.0,common,,Basic Land — Plains,({T}: Add {W}.),,false,false,false
Island,U,,0.0,common,,Basic Land — Island,({T}: Add {U}.),,false,false,false
Swamp,B,,0.0,common,,Basic Land — Swamp,({T}: Add {B}.),,false,false,false
Mountain,R,,0.0,common,,Basic Land — Mountain,({T}: Add {R}.),,false,false,false
Forest,G,,0.0,common,,Basic Land — Forest,({T}: Add {G}.),,false,false,false
Idyllic Tutor,W,,3.0,mythic,{2}{W},Sorcery,"Search your library for an enchantment card, reveal it, put it into your hand, then shuffle.",,false,false,false
Kinsbaile Cavalier,W,,4.0,mythic,{3}{W},Creature — Kithkin Knight,Knight creatures you control have double strike.,,false,false,false
Mistbind Clique,U,,4.0,mythic,{3}{U},Creature — Faerie Wizard,"Flash
Flying
Champion a Faerie (When this enters, sacrifice it unless you exile another Faerie you control. When this leaves the battlefield, that card returns to the battlefield.)
When a Faerie is championed with this creature, tap all lands target player controls.",,false,false,false
Wanderwine Prophets,U,,6.0,mythic,{4}{U}{U},Creature — Merfolk Wizard,"Champion a Merfolk (When this enters, sacrifice it unless you exile another Merfolk you control. When this leaves the battlefield, that card returns to the battlefield.)
Whenever this creature deals combat damage to a player, you may sacrifice a Merfolk. If you do, take an extra turn after this one.",,false,false,false
Bitterblossom,B,,2.0,mythic,{1}{B},Kindred Enchantment — Faerie,"At the beginning of your upkeep, you lose 1 life and create a 1/1 black Faerie Rogue creature token with flying.",,false,false,false
Faerie Macabre,B,,3.0,mythic,{1}{B}{B},Creature — Faerie Rogue,"Flying
Discard this card: Exile up to two target cards from graveyards.",,false,false,false
Goblin Chieftain,R,,3.0,mythic,{1}{R}{R},Creature — Goblin,"Haste (This creature can attack and {T} as soon as it comes under your control.)
Other Goblin creatures you control get +1/+1 and have haste.",,false,false,false
Goblin Sharpshooter,R,,3.0,mythic,{2}{R},Creature — Goblin,"This creature doesn't untap during your untap step.
Whenever a creature dies, untap this creature.
{T}: This creature deals 1 damage to any target.",,false,false,false
Heat Shimmer,R,,3.0,mythic,{2}{R},Sorcery,"Create a token that's a copy of target creature, except it has haste and ""At the beginning of the end step, exile this token.""",,false,false,false
Devoted Druid,G,,2.0,mythic,{1}{G},Creature — Elf Druid,"{T}: Add {G}.
Put a -1/-1 counter on this creature: Untap this creature.",,false,false,false
Helix Pinnacle,G,,1.0,mythic,{G},Enchantment,"Shroud (This enchantment can't be the target of spells or abilities.)
{X}: Put X tower counters on this enchantment.
At the beginning of your upkeep, if there are 100 or more tower counters on this enchantment, you win the game.",,false,false,false
Leaf-Crowned Visionary,G,,2.0,mythic,{G}{G},Creature — Elf Druid,"Other Elves you control get +1/+1.
Whenever you cast an Elf spell, you may pay {G}. If you do, draw a card.",,false,false,false
Regal Force,G,,7.0,mythic,{4}{G}{G}{G},Creature — Elemental,"When this creature enters, draw a card for each green creature you control.",,false,false,false
Manamorphose,GR,,2.0,mythic,{1}{R/G},Instant,"Add two mana in any combination of colors.
Draw a card.",,false,false,false
Risen Reef,GU,,3.0,mythic,{1}{G}{U},Creature — Elemental,"Whenever this creature or another Elemental you control enters, look at the top card of your library. If it's a land card, you may put it onto the battlefield tapped. If you don't put the card onto the battlefield, put it into your hand.",,false,false,false
Slippery Bogle,GU,,1.0,mythic,{G/U},Creature — Beast,Hexproof (This creature can't be the target of spells or abilities your opponents control.),,false,false,false
Dolmen Gate,,,2.0,mythic,{2},Artifact,Prevent all combat damage that would be dealt to attacking creatures you control.,,false,false,false
Door of Destinies,,,4.0,mythic,{4},Artifact,"As this artifact enters, choose a creature type.
Whenever you cast a spell of the chosen type, put a charge counter on this artifact.
Creatures you control of the chosen type get +1/+1 for each charge counter on this artifact.",,false,false,false
Painter's Servant,,,2.0,mythic,{2},Artifact Creature — Scarecrow,"As this creature enters, choose a color.
All cards that aren't on the battlefield, spells, and permanents are the chosen color in addition to their other colors.",,false,false,false
Thousand-Year Elixir,,,3.0,mythic,{3},Artifact,"You may activate abilities of creatures you control as though those creatures had haste.
{1}, {T}: Untap target creature.",,false,false,false
